p_used,rbo_globals,rbo_locals,rbo_ids
0.95,0.9709915139165308,0.7854123717672241,0.7577003638784582
0.95,0.954145425252251,0.6746657846226884,0.6740643283802618
0.95,0.9663980582241606,0.8342786116126962,0.4483843747603808
0.95,0.9417411310466164,0.7609943391011806,0.7251819713564346
0.95,0.9695890955265722,0.8719198118901854,0.868609238848289
0.95,0.9767255055328378,0.8228803246733813,0.5568201737582357
0.95,0.9843920538230816,0.888061096555789,0.846656815266917
0.95,0.979826629230936,0.8597098182724237,0.8805980891545186
0.95,0.9000315232370494,0.7123211073415278,0.4278709895927985
0.95,0.9843100216730504,0.9285457306206694,0.3046610284681019
0.95,0.9520533878256814,0.7394263993788,0.3293928242765243
0.95,0.9648896603851416,0.7440517644818854,0.8682869280496512
0.95,0.9580121194779448,0.8149748110085616,0.7906556800152852
0.95,0.970728609267066,0.7321211877450742,0.7485647447001499
0.95,0.970307842647841,0.7868350916265554,0.6235703647348059
0.95,0.9790951813891972,0.8745358784837404,0.6858030577196741
0.95,0.9498775223838204,0.6343439780629831,0.2346418149467462
0.95,0.9642317524163015,0.7448028843793646,0.5440170468902681
0.95,0.9478200457941828,0.8133306256798254,0.4076660206240693
0.95,0.9790495950591264,0.8800490764311709,0.7567777918044283
0.95,0.9801101014324844,0.8034091600927175,0.6435962303101247
0.95,0.9160673670960296,0.7833265731540784,0.4570654890102671
0.95,0.9705571546279098,0.7852948924256098,0.3669343687696303
0.95,0.9563250550336918,0.7044582266996899,0.4381827856212879
0.95,0.9621425869655672,0.688851163392161,0.6889286396899219
0.95,0.9617498536045728,0.7893804668775841,0.5043928969328585
0.95,0.989186615310192,0.8827669985975478,0.8419848789178145
0.95,0.9431592678576128,0.7162397731674359,0.6282627764286665
0.95,0.9499172101319932,0.7567419041322886,0.4109640214649533
0.95,0.9417607477885156,0.7398484080354121,0.6338240707860923
0.95,0.975814648200395,0.8884178175912465,0.8138667052536437
0.95,0.9448816820955136,0.708102795709295,0.4610676192600101
0.95,0.9196773477212168,0.7936575548449483,0.4829756231115074
0.95,0.9560529066065246,0.7739894794297406,0.5455159653377505
0.95,0.9485991501385884,0.6700663110180785,0.2777703157768706
0.95,0.8732443077576622,0.5836909373447139,0.4670483860094181
0.95,0.9361836990129384,0.8255170896267937,0.3960369777565695
0.95,0.9649218212691388,0.7507240334255276,0.4906932623866768
0.95,0.9818181073780536,0.9058628992205032,0.8843750138608247
0.95,0.9478526736451092,0.6928217039387368,0.3864864599249475
0.95,0.9676766993949651,0.7871467590241762,0.6564547124533654
0.95,0.9836274022302494,0.882624137221225,0.3178325071438885
0.95,0.9777610546546576,0.8499414045523717,0.4072808422514139
0.95,0.98372484832734,0.8713759860007412,0.7802124124828276
0.95,0.9670869566399672,0.9203052318519956,0.7507734923937974
0.95,0.9706784276821814,0.8811824801489296,0.4929013628294745
0.95,0.971051443841354,0.8661801292355128,0.631380245092073
0.95,0.9680702681627518,0.7867688009205295,0.4841737185342353
0.95,0.9429555420398328,0.7549294963775736,0.4433402722828884
0.95,0.9928731073873788,0.9474116457211248,0.9570593334023902
0.95,0.9717798645429871,0.8701548915241867,0.5973910309027035
0.95,0.9433163142475768,0.706622690093011,0.2898520417229109
0.95,0.9435039727118152,0.655149825936727,0.3441892122734558
0.95,0.964886045287934,0.8594884449514097,0.5249635935492076
0.95,0.9104230533163598,0.5092981991920816,0.2973164567182475
0.95,0.9870585488527,0.8527075948601813,0.6580363455411837
0.95,0.9753218031517678,0.8203619349206064,0.6116374713152531
0.95,0.9107807106812296,0.7218749757865031,0.2915571787329179
0.95,0.9345269333189278,0.6751127448475153,0.2723091327768475
0.95,0.9226603627938924,0.7503884976349982,0.4586931350027091
0.95,0.9988149998077572,0.9851874975969672,0.8977551751542249
0.95,0.9593848681961824,0.7104175959817995,0.5895019665529518
0.95,0.995612970624838,0.9764764604014636,0.9739005414395508
0.95,0.9838817060961812,0.842583436598016,0.8443240913410942
0.95,0.987199496083694,0.8908292505740931,0.8235360782381355
0.95,0.9580467197331872,0.80124087169281,0.4833739315177796
0.95,0.925950706000547,0.6776886345202254,0.4428806205147625
0.95,0.9443773913607574,0.6893979223320361,0.4218985004205503
0.95,0.9671755505071422,0.8236912512140537,0.8170665132222316
0.95,0.9618535552492746,0.9001862064744159,0.681699362010904
0.95,0.9981130675143394,0.9809066953857394,0.9956044858936862
0.95,0.9632120720873,0.7915092786126425,0.2940672135746486
0.95,0.948051091289834,0.7550619514973802,0.3133817700066211
0.95,0.9659726350666272,0.8769302394523583,0.8123799151029192
0.95,0.9342781590184208,0.70435807115164,0.3290381070258003
0.95,0.9067522533123608,0.6629598636087807,0.392368242058684
0.95,0.9027718454966086,0.4947519314506906,0.4473301056921266
0.95,0.9528494057718376,0.5561383832153209,0.4355774057204339
0.95,0.944138181686116,0.7165256101446602,0.633766468458779
0.95,0.9713084446937882,0.8129996727494888,0.6611115703796459
0.95,0.9751055101604552,0.8359227334097568,0.8798527269357829
0.95,0.8873880416373561,0.5115805281089202,0.2836918041262619
0.95,0.971309129072982,0.8601978980569525,0.8001259652730714
0.95,0.9776427200636916,0.8540137354069773,0.3891060919759018
0.95,0.9908858021981468,0.8983485970788032,0.875463547082008
0.95,0.8864817479820666,0.5257027666580191,0.25326043764645
0.95,0.9684820989056816,0.788678692871216,0.8342553748285879
0.95,0.9610744808039838,0.8076407347730654,0.7370765945204745
0.95,0.994638989128602,0.9700449944667516,0.9589951211775278
0.95,0.9691932297982714,0.7499773387710006,0.3615920668951078
0.95,0.952417436335457,0.7672971414158473,0.7083517550867414
0.95,0.996317784320474,0.975149409296926,0.982954600465468
0.95,0.9822471978501982,0.8375502945966158,0.762868902900952
0.95,0.987153344757161,0.9033486055253126,0.7362737185198885
0.95,0.998729113851896,0.9867714061823104,0.9944656550021564
0.95,0.9494207984007342,0.5534957036327077,0.2071726915821259
0.95,0.9646663829939046,0.7522059882976994,0.428303551869886
0.95,0.931340458678848,0.7317407343209836,0.4945246621702496
