p_used,rbo_globals_0,rbo_locals_0,rbo_globals_1,rbo_locals_1,rbo_ids
0.95,0.7922513696914519,0.18971788063794617,0.8194795725627949,0.6462183978410638,0.17514847274080816
0.95,0.8827015662419115,0.3538304462776354,0.8819493548481138,0.7604284882234801,0.5188026865980181
0.95,0.8922514101018506,0.4911502216901873,0.8874497767024082,0.7784159529964668,0.48575161879072754
0.95,0.8874053387113233,0.4118164233789918,0.8770640460822833,0.7429140232690271,0.3298964605611752
0.95,0.8989833685658203,0.6057810811959736,0.9012712976295189,0.8103050780649916,0.4009372095347321
0.95,0.9083491463458097,0.6908401680542116,0.8959960344121854,0.802303411166341,0.6681146665369876
0.95,0.8807667229803847,0.40428644345290277,0.8854615900935205,0.7736765783359485,0.19348994706951986
0.95,0.8816523562610894,0.330240461974156,0.8818794511682084,0.7592650869319444,0.41370567353500987
0.95,0.8916349769536994,0.6331182080922616,0.9071242824161648,0.8271038805001015,0.2998647134159172
0.95,0.875583489944381,0.2604033945116804,0.87512784795097,0.7377240856309762,0.25157928775362604
0.95,0.8813438569402903,0.5239762179987687,0.8813509594239917,0.7745825233172927,0.5316711173143369
0.95,0.8832407522056539,0.4747917209417901,0.8838246507987547,0.7714599687429683,0.6359341638768348
0.95,0.8825547393615152,0.4759874341143418,0.8851512566734028,0.7742496275689258,0.2921883467184795
0.95,0.8793142638635372,0.3208196627396274,0.8799876024113759,0.7542333098275203,0.48054124231007106
0.95,0.8863518195074204,0.4987935794235266,0.8849127595503418,0.7749533503830927,0.48308551703661906
0.95,0.8807979922942882,0.5381629286054386,0.8823576706478323,0.7815470178673722,0.7400905324613942
0.95,0.861932340167438,0.4830543140291951,0.8688086623584831,0.7544528949801073,0.42563739087364644
0.95,0.8740196472965882,0.46261746801580816,0.8782748528241755,0.7581187357442107,0.584348738777074
0.95,0.8573814853171707,0.3006899807650444,0.8597712907932006,0.692452419261146,0.3337116546644699
0.95,0.8837379035523254,0.40736876733224203,0.875759875728945,0.7363697014914703,0.3036047938823281
0.95,0.848572970411704,0.37746239283743477,0.8578288020458946,0.7029399375968003,0.4194193946134863
0.95,0.7602621441317292,0.35303218152246235,0.7985418948589058,0.6446687748868468,0.19608957948346836
0.95,0.8935784256536153,0.6123224729424306,0.9059477122922306,0.8374106510240767,0.24944325148077864
0.95,0.8814808489416646,0.5205666533780564,0.8785385091362446,0.7505344886236395,0.6788240008352617
0.95,0.9100408294440041,0.7413284223537376,0.8991500437435146,0.8206653495153893,0.2417715579182218
0.95,0.8844991859424731,0.41139977482408063,0.872379378543442,0.729126715317886,0.23203460686008784
0.95,0.8807741919875757,0.3582138998027337,0.8808952540233924,0.7577734476560231,0.6278331528404109
0.95,0.895633185668318,0.637255098040706,0.9117555665067044,0.8528653332827263,0.19077170381536226
0.95,0.8750349949834721,0.250671838471523,0.8784112841436287,0.7487888543202953,0.4767690997981557
0.95,0.8866541115481632,0.4804908110137966,0.884658350506597,0.7707019480047239,0.41947492409108567
0.95,0.8890807438902253,0.5969324727502606,0.8960355500688075,0.8096047384420683,0.6409348217366304
0.95,0.8260550853090167,0.4883361752685829,0.8457373384254693,0.7192383359211306,0.4236517152259303
0.95,0.8796708435874943,0.44416664820345814,0.8808641666341974,0.7591269099777802,0.6949890021374721
0.95,0.8575526967460319,0.22788216966788408,0.8850872701602327,0.7604429906143844,0.15252309846504594
0.95,0.8817524264055058,0.5382909122245423,0.8623710037781063,0.70726013705585,0.2844762589101681
0.95,0.8569819004329537,0.622429711659445,0.8662685595641961,0.7798559190093193,0.5330368304507368
0.95,0.8855298896053039,0.5693674306524171,0.8859464285857975,0.7806395378752771,0.5072203034280217
0.95,0.9016790578345166,0.6191048888915812,0.8916209182100547,0.791685421295272,0.3146557104914301
0.95,0.8916384166756811,0.56576805153898,0.8896744283612151,0.7883279114043634,0.387432273612959
0.95,0.8455748307743142,0.33847592415216504,0.8767810113881406,0.7328483050385521,0.549648580671802
0.95,0.8751769471499575,0.38104450903127596,0.876338271169011,0.7460167228795533,0.4329071109991197
0.95,0.8892887166488938,0.5832095673811305,0.8872093120894475,0.7853518215693711,0.29386223335362716
0.95,0.8970316627868505,0.7637943198539693,0.9086673436056262,0.8602209552599351,0.419397197142569
0.95,0.8787018558768116,0.28367298726991724,0.8853701459179957,0.7709905156639917,0.7025079405370822
0.95,0.8717035400156217,0.4450887321696939,0.8769875179511841,0.7521753299832387,0.6168155918153602
0.95,0.9134394186069702,0.7428501750961427,0.9357953071810492,0.9015557264340938,0.24538089553456444
0.95,0.9097581004822924,0.6559710585148394,0.9276096603519455,0.8799444200134925,0.32760445973494146
0.95,0.809717117324855,0.31502014797314815,0.8376125053547924,0.6747885327234437,0.25985755066457167
0.95,0.8464356688976381,0.46774904512556587,0.8207816110513727,0.6541599522976784,0.1253372643987207
0.95,0.8903823593168628,0.506213525700848,0.8765099007192715,0.7438456773385512,0.43082896279566807
0.95,0.8855173782867983,0.43236474308241435,0.8887351658886286,0.7843461300110229,0.38437509258119984
0.95,0.8897636738385097,0.4080939011317939,0.8729352649391433,0.7299977922690482,0.4149465052565158
0.95,0.8832670430018267,0.37291489630934804,0.8839632518615866,0.7677192924427493,0.30266899498875705
0.95,0.8626206916875824,0.2557619910144073,0.8685011775550321,0.7196213325080518,0.20586211091751194
0.95,0.8888166588474465,0.4960585322141747,0.8932529513281956,0.7992680558565183,0.44206284876661633
0.95,0.8793856861985812,0.5731353945638473,0.8855998292934536,0.7855781429323563,0.6109935813368532
0.95,0.8709776247944436,0.4028425393483014,0.8773482862137032,0.7528510026973838,0.45575931089739136
0.95,0.8605307872564649,0.4211852899165499,0.8693807317321867,0.7371733655616123,0.37720278620715514
0.95,0.8730474610176003,0.2616921002910969,0.8906494143229784,0.784194871974108,0.1654813981181131
0.95,0.9003206733861816,0.7425147435097209,0.9083984378149919,0.8517500269939302,0.26185578441067703
0.95,0.8883523827598739,0.5991292368433698,0.8806693868811888,0.7666867227510547,0.2810923714254782
0.95,0.8763942887866377,0.6144110931381886,0.8716510472847173,0.7558438611719098,0.48921059951995005
0.95,0.8596340916955358,0.5009140820522615,0.8590304344316472,0.715589167690877,0.3767976278480663
0.95,0.8926501896694592,0.6586395368890869,0.879286702584297,0.7650027352354067,0.2702799719707316
0.95,0.8488226289772437,0.6674716304713298,0.8612272010573766,0.7702266244621849,0.41355694031329165
0.95,0.8722422578521805,0.6447569502419145,0.8877079179489928,0.8032902294181149,0.27435884864982535
0.95,0.8937234482948531,0.5974912601882102,0.9093469264304332,0.8477274851082833,0.2966774458627548
0.95,0.8833147927435615,0.48189936288286456,0.881230341350745,0.7601363790847165,0.44046657853954113
0.95,0.861198001638541,0.270534041470335,0.8770148906112333,0.7449792463875604,0.6127200594637893
0.95,0.8909439259909626,0.527140708623479,0.8864477050946497,0.7748604974688079,0.24337115311438376
0.95,0.8204201379015382,0.47399763122320016,0.8398064557953471,0.7213518426344192,0.3970436206928343
0.95,0.8527517486260807,0.5166060039549591,0.8594163015661832,0.7578683176401825,0.7156893994637433
0.95,0.8808508689429845,0.3298628382152793,0.8815690440722854,0.7590373107382962,0.3120549895532999
0.95,0.8541941773731144,0.4723294559156006,0.8706599886677368,0.746961310133472,0.5704799909712049
0.95,0.8806472599541468,0.521711907257941,0.8863009641658154,0.7818463982019149,0.7132937932318729
0.95,0.8464976873996152,0.4823173289415932,0.8586621192184142,0.7347888040551525,0.4785664874348732
0.95,0.8744957528462759,0.25566747039672616,0.8783422943688143,0.7487372276135886,0.5981066114307787
0.95,0.8787253345155439,0.3820507962126602,0.8880031623745873,0.7802215888548771,0.4609269627442036
0.95,0.8768495088639883,0.41789956299294784,0.8774715918095339,0.7511743673736333,0.3235256349539431
0.95,0.8734957715218848,0.5928852040423165,0.8807301024780254,0.7743694008205019,0.1937393138261541
0.95,0.8787349686181224,0.3904304873898502,0.8857852973464295,0.7748339099532826,0.14161156394771277
0.95,0.870749228242327,0.45422820787694473,0.8742743286789824,0.7488109865927369,0.6744390813770712
0.95,0.8682847112644765,0.4781563499424753,0.8735356809671879,0.7471912845251069,0.5188455255448285
0.95,0.8934424442820332,0.5908797440828943,0.8811228620640641,0.7607561664259727,0.37254509955269116
0.95,0.8845751043958162,0.5316812305838381,0.8850681674963154,0.7765760483210978,0.5037978603279751
0.95,0.8765005994654989,0.39391514110553866,0.8780757215614989,0.7523463431661515,0.4621199004772873
0.95,0.9050715155437138,0.6813485153503935,0.908627398954286,0.8376568106755374,0.3000636774225147
0.95,0.8820785356014939,0.2897768419119775,0.8819905774963238,0.7600077604536879,0.1678287381021618
0.95,0.874533157883817,0.3330793009619213,0.8781962482164954,0.743854376443308,0.5243181799555572
0.95,0.8884385406900385,0.5553074257283318,0.8904419327245527,0.791430830976159,0.2412795443449461
0.95,0.921801237260636,0.7014735856507127,0.9163523849361231,0.8404702792580417,0.1780636137015408
0.95,0.8185396172439708,0.3275445609763725,0.8359497743985439,0.659551413672025,0.2766429848929206
